age,job,marital,education,default,housing,loan,contact,month,duration,campaign,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
50,6,0,4,0,1,0,1,4,305,2,1,-3.4,92.431,-26.9,0.754,5017.5,1
37,2,1,4,0,1,0,1,4,447,3,0,-3.4,92.431,-26.9,0.754,5017.5,1
59,4,1,0,0,0,0,1,4,86,1,2,-3.4,92.431,-26.9,0.754,5017.5,0
31,2,0,4,0,1,0,1,4,760,1,0,-3.4,92.431,-26.9,0.754,5017.5,0
35,2,0,1,0,1,0,1,4,194,1,1,-3.4,92.431,-26.9,0.754,5017.5,1
35,2,0,1,0,0,0,1,4,302,1,2,-3.4,92.431,-26.9,0.754,5017.5,0
36,2,0,4,0,1,0,1,4,66,1,0,-3.4,92.431,-26.9,0.754,5017.5,0
69,5,0,4,0,1,0,1,4,199,1,0,-3.4,92.431,-26.9,0.754,5017.5,0
65,2,0,4,0,1,0,1,4,120,1,0,-3.4,92.431,-26.9,0.754,5017.5,0
49,4,2,3,0,0,0,1,4,56,1,2,-3.4,92.431,-26.9,0.754,5017.5,0
49,4,2,3,0,0,0,1,4,237,1,2,-3.4,92.431,-26.9,0.754,5017.5,0
49,4,2,3,0,1,0,1,4,168,1,1,-3.4,92.431,-26.9,0.754,5017.5,0
78,5,0,0,0,1,0,0,4,321,1,0,-3.4,92.431,-26.9,0.754,5017.5,0
32,2,0,4,0,1,0,1,4,177,1,0,-3.4,92.431,-26.9,0.754,5017.5,0
50,6,0,4,0,1,0,0,4,258,1,1,-3.4,92.431,-26.9,0.754,5017.5,0
71,5,0,0,0,0,0,1,4,250,2,2,-3.4,92.431,-26.9,0.754,5017.5,0
29,2,1,4,0,1,0,1,4,99,1,0,-3.4,92.431,-26.9,0.754,5017.5,0
51,4,0,2,0,1,0,1,4,67,6,3,-3.4,92.431,-26.9,0.754,5017.5,0
49,4,2,3,0,1,1,1,4,81,1,0,-3.4,92.431,-26.9,0.754,5017.5,0
23,7,1,0,0,1,0,1,4,238,1,1,-3.4,92.431,-26.9,0.754,5017.5,1
38,2,0,1,0,1,0,1,4,82,1,1,-3.4,92.431,-26.9,0.754,5017.5,0
71,5,0,0,0,1,0,1,4,137,1,1,-3.4,92.431,-26.9,0.754,5017.5,1
26,4,1,4,0,1,0,1,4,152,1,0,-3.4,92.431,-26.9,0.754,5017.5,0
54,6,2,4,1,1,0,1,4,214,1,0,-3.4,92.431,-26.9,0.754,5017.5,0
75,5,2,0,1,1,0,1,4,502,1,0,-3.4,92.431,-26.9,0.754,5017.5,1
83,5,0,2,0,1,0,1,4,849,2,1,-3.4,92.431,-26.9,0.752,5017.5,1
28,7,1,0,0,1,1,1,4,462,1,0,-3.4,92.431,-26.9,0.752,5017.5,0
63,5,0,0,0,1,0,1,4,91,2,0,-3.4,92.431,-26.9,0.752,5017.5,0
28,7,1,0,0,1,0,1,4,160,2,1,-3.4,92.431,-26.9,0.752,5017.5,0
71,5,0,0,0,0,0,1,4,131,2,0,-3.4,92.431,-26.9,0.752,5017.5,0
82,5,0,4,0,1,0,1,4,215,1,0,-3.4,92.431,-26.9,0.744,5017.5,1
45,3,0,2,0,0,0,1,4,117,1,0,-3.4,92.431,-26.9,0.744,5017.5,0
68,5,0,1,0,1,0,1,4,88,1,2,-3.4,92.431,-26.9,0.744,5017.5,0
37,0,1,4,0,1,0,1,4,89,1,1,-3.4,92.431,-26.9,0.744,5017.5,0
43,6,1,4,0,1,0,1,4,205,1,0,-3.4,92.431,-26.9,0.744,5017.5,0
43,6,1,4,0,0,0,1,4,408,1,1,-3.4,92.431,-26.9,0.744,5017.5,0
69,5,2,2,0,0,0,1,4,144,1,0,-3.4,92.431,-26.9,0.744,5017.5,1
82,5,0,4,0,1,1,1,4,63,1,1,-3.4,92.431,-26.9,0.744,5017.5,0
82,5,0,4,0,1,0,1,4,526,1,0,-3.4,92.431,-26.9,0.744,5017.5,0
80,5,2,0,0,0,0,1,4,96,1,0,-3.4,92.431,-26.9,0.744,5017.5,0
65,5,0,1,0,1,0,1,4,384,2,0,-3.4,92.431,-26.9,0.744,5017.5,1
80,5,2,0,0,0,0,1,4,125,1,0,-3.4,92.431,-26.9,0.744,5017.5,0
41,4,0,2,0,1,0,1,4,304,2,0,-3.4,92.431,-26.9,0.744,5017.5,0
27,2,0,1,0,0,0,1,4,572,1,0,-3.4,92.431,-26.9,0.744,5017.5,0
56,9,0,0,0,1,0,1,4,172,1,0,-3.4,92.431,-26.9,0.744,5017.5,0
