age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
56,0,0,0,0,0,0,0,0,0,261,1,0,1.1,93.994,-36.4,4.857,5191.0,0
57,1,0,1,1,0,0,0,0,0,149,1,0,1.1,93.994,-36.4,4.857,5191.0,0
37,1,0,1,0,1,0,0,0,0,226,1,0,1.1,93.994,-36.4,4.857,5191.0,0
40,2,0,0,0,0,0,0,0,0,151,1,0,1.1,93.994,-36.4,4.857,5191.0,0
56,1,0,1,0,0,1,0,0,0,307,1,0,1.1,93.994,-36.4,4.857,5191.0,0
45,1,0,0,1,0,0,0,0,0,198,1,0,1.1,93.994,-36.4,4.857,5191.0,0
59,2,0,2,0,0,0,0,0,0,139,1,0,1.1,93.994,-36.4,4.857,5191.0,0
41,3,0,3,1,0,0,0,0,0,217,1,0,1.1,93.994,-36.4,4.857,5191.0,0
24,4,1,2,0,1,0,0,0,0,380,1,0,1.1,93.994,-36.4,4.857,5191.0,0
25,1,1,1,0,1,0,0,0,0,50,1,0,1.1,93.994,-36.4,4.857,5191.0,0
41,3,0,3,1,0,0,0,0,0,55,1,0,1.1,93.994,-36.4,4.857,5191.0,0
25,1,1,1,0,1,0,0,0,0,222,1,0,1.1,93.994,-36.4,4.857,5191.0,0
29,3,1,1,0,0,1,0,0,0,137,1,0,1.1,93.994,-36.4,4.857,5191.0,0
57,0,2,0,0,1,0,0,0,0,293,1,0,1.1,93.994,-36.4,4.857,5191.0,0
35,3,0,0,0,1,0,0,0,0,146,1,0,1.1,93.994,-36.4,4.857,5191.0,0
54,5,0,0,1,1,1,0,0,0,174,1,0,1.1,93.994,-36.4,4.857,5191.0,0
35,3,0,0,0,1,0,0,0,0,312,1,0,1.1,93.994,-36.4,4.857,5191.0,0
46,3,0,0,1,1,1,0,0,0,440,1,0,1.1,93.994,-36.4,4.857,5191.0,0
50,3,0,0,0,1,1,0,0,0,353,1,0,1.1,93.994,-36.4,4.857,5191.0,0
39,6,1,0,1,0,0,0,0,0,195,1,0,1.1,93.994,-36.4,4.857,5191.0,0
30,7,0,1,0,0,0,0,0,0,38,1,0,1.1,93.994,-36.4,4.857,5191.0,0
55,3,0,0,1,1,0,0,0,0,262,1,0,1.1,93.994,-36.4,4.857,5191.0,0
55,5,1,1,0,1,0,0,0,0,342,1,0,1.1,93.994,-36.4,4.857,5191.0,0
41,4,1,1,0,1,0,0,0,0,181,1,0,1.1,93.994,-36.4,4.857,5191.0,0
37,2,0,1,0,1,0,0,0,0,172,1,0,1.1,93.994,-36.4,4.857,5191.0,0
35,4,0,4,0,0,1,0,0,0,99,1,0,1.1,93.994,-36.4,4.857,5191.0,0
59,4,0,3,0,1,0,0,0,0,93,1,0,1.1,93.994,-36.4,4.857,5191.0,0
39,8,0,0,1,0,0,0,0,0,233,1,0,1.1,93.994,-36.4,4.857,5191.0,0
54,4,1,4,1,0,0,0,0,0,255,2,0,1.1,93.994,-36.4,4.857,5191.0,0
55,9,0,4,1,2,2,0,0,0,362,1,0,1.1,93.994,-36.4,4.857,5191.0,0
